"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","SRR12298117","SRR12298118","SRR12298119","SRR12298120","SRR12298121","SRR12298122","SRR12298123","SRR12298124","SRR12298125","SRR12298126","SRR12298127","SRR12298128","SRR12298129","SRR12298130","SRR12298131","SRR12298132","SRR12298133","SRR12298134","SRR12298135","SRR12298136","SRR12298137","SRR12298138","SRR12298139","SRR12298140","SRR12298141","SRR12298142","SRR12298143","SRR12298144","SRR12298145","SRR12298146","SRR12298147","SRR12298148","SRR12298149","SRR12298150","SRR12298151","SRR12298152","SRR12298153","SRR12298154","SRR12298155","SRR12298156","SRR12298157","SRR12298158","SRR12298159","SRR12298160","SRR12298161","SRR12298162","SRR12298163","SRR12298164","SRR12298165","SRR12298166"
"1","ENSG00000142871",79.2137977133931,-2.00412105110655,0.43273834978566,-4.63125362496578,3.63458317059841e-06,0.0265524473528067,"CCN1",34.9895664614472,106.203020251875,397.502898638095,28.9188077591428,694.71236558309,100.979090772537,206.039641437122,135.095780843394,55.4177628633765,17.6352915780069,41.9271561813394,27.4442600548528,40.1860051063165,17.3180995728908,13.7253192478117,34.0774671902258,28.359349052298,55.4305399202905,43.8597510819643,32.2720279655525,26.2690090212279,39.321359931448,87.1692612495786,33.6388203916819,89.3046824378931,54.5630060440895,15.4998133689027,53.1087743996002,43.8953349341136,270.490449734768,24.2991905608282,107.959019805311,93.4648992914343,66.67726931933,21.4580973654222,51.7358407887151,63.5356215943004,38.2952876844405,26.7598976473001,53.1345202464952,0,18.0985397645592,67.9911367568797,119.341730284974,54.5820755859046,53.9736790071891,76.1614113005356,34.1831744015685,25.2617869583256,138.421994231212
"2","ENSG00000256338",337.246179744372,4.88516103341454,1.02778594812064,4.75309186932093,2.00329264334223e-06,0.0265524473528067,"RPL41P2",5.52466838864956,18.6321088161185,10.3439416002478,22.4924060348888,11.3232120948346,17.130381470341,6.84896315026444,6.69896433934186,48.1259519603007,1347.84014203338,6.14931623992978,49.3996680987351,22.4293981988743,221.671674533003,121.032360639794,16.2979190909776,81.0267115779941,18.1881459113453,6.2656787259949,12.294105891639,14.6617724769644,18.8058677933012,12.5724896033046,1728.66160346143,11.0765497597387,9.26541612069444,21.9580689392789,10.8631583999182,8.77906698682272,50.9619687906085,8.09973018694274,12.9246713851428,9.988615191451,3671.55157187408,15.9403009000279,2940.55332915318,7.33103326088081,472.011685412871,4.31611252375807,8.85575337441587,2244.95671500412,7.86893033241705,1297.92035689626,10.4685728320153,16.3037368633221,18.3306834364038,438.116633322883,16.0233630007352,1715.69636425295,7.72914688600674
"3","ENSG00000153234",114.317470078903,-1.7309726436348,0.395878318428015,-4.37248660272249,1.2283935739174e-05,0.032719227579318,"NR4A2",207.175064574359,115.519074659934,604.381730643052,239.918997705481,545.512394451151,165.894220554881,130.701046784213,88.2030304680012,49.5843141409158,17.6352915780069,164.35445223085,48.48485943024,61.6808450469043,41.563438974938,17.4685881335785,93.3426275210533,52.6673625256962,146.371269477017,172.30616496486,59.1653846035129,42.7635030578128,121.383328484035,94.7127550115614,24.2947036162147,101.765800917599,39.1206458429321,71.0408112741375,155.705270398828,42.2991409365095,505.699536460653,90.8969720979129,75.2672039487728,62.0721086897312,34.4140744873961,171.664778923377,110.463011413743,70.0520956039722,71.247046854773,77.6900254276453,109.95893773233,6.21871666206128,44.0660098615355,112.642032537517,37.686862195255,35.4429062246134,79.43296155775,39.9658890983008,39.5242954018136,114.730615769062,111.721304988643
"4","ENSG00000159208",90.9677210428692,2.1926446069359,0.493714233789872,4.44112090936617,8.94914910592308e-06,0.032719227579318,"CIART",44.1973471091965,16.7688979345066,17.7324713147106,24.6345399429735,15.9857111927077,20.7367775693602,16.5516609464724,41.8685271208866,444.800465087627,156.198296833775,29.6285237014799,60.3773721206762,90.6521510537836,72.7360182061415,28.698394790879,80.0079664466171,218.772121260584,17.3220437250908,10.1817279297417,49.9448051847836,157.003146940827,29.0636138623746,15.9251534975192,476.549955548828,39.4602085190691,55.5924967241666,111.08199581047,88.1122847993366,145.253653781976,270.490449734768,30.5989807062281,58.5411586268233,72.7741963948572,133.35453863866,123.230787727139,74.1080962649162,18.7348627778065,237.787018877805,187.3192835311,18.4494861966997,0,82.623768490379,66.9763436709561,65.4285802000955,87.8984074370411,53.9736790071891,47.5066228904331,28.8420534013234,131.571807074613,182.337601538068
"5","ENSG00000172551",21.0283014344431,3.08825846780201,0.705634422104427,4.37657003550342,1.20561465024482e-05,0.032719227579318,"MUCL1",4.60389032387463,4.65802720402961,1.47770594289255,4.2842678161693,0,0,3.99522850432092,7.25721136762035,20.4170705286124,70.5411663120275,2.2361149963381,9.14808668495094,19.625723424015,90.0541177790323,13.7253192478117,9.63058855375947,155.976419787639,19.0542480975999,1.56641968149872,25.3565934015055,10.3854221711831,3.41924868969113,10.0579916826437,29.9011736814951,11.0765497597387,12.3538881609259,7.74990668445136,7.24210559994548,2.3942909964062,0,11.6996102700284,0,3.56736256837535,66.67726931933,5.51779646539427,141.22486269352,10.5892702657167,21.3741140564319,8.63222504751615,12.5456506137558,74.6245999447354,9.44271639890046,17.2514824607008,3.66400049120535,4.2531487469536,12.2204556242692,14.3273942050512,10.6822420004902,47.3658505468606,17.5662429227426
"6","ENSG00000251039",350.283954169012,3.44521077103112,0.79147865413279,4.3528789475769,1.3436134794053e-05,0.032719227579318,"IGKV2D-40",21.1778954898233,67.0755917380264,8.86623565735528,40.7005442536084,57.9482030735655,1.80319804950958,59.3576806356252,25.121116272532,33.5423301541489,297.28062945783,226.406643379233,255.231618510131,97.1940588617886,1298.85746796681,1975.19821538963,85.9344824796999,58.7443658940457,86.610218625454,1598.53128496945,67.6175824040148,47.0398533635941,499.210308694904,62.862448016523,147.637045052382,114.919203757289,211.045589415818,51.6660445630091,55.522809599582,1253.01228811924,1.96007572271571,1395.85350221646,0,26.3984830059776,79.5825472521036,43.5292832269993,155.207522366145,322.565463478756,805.091629458935,50.9301277803453,223.607772704001,3482.48133075432,33.8364004293933,24.3550340621659,459.04691868387,416.808577201453,62.1206494233686,79.9317781966017,976.3569188448,67.3647652222017,1.05397457536456
"7","ENSG00000282122",142.58175441565,5.74875744712198,1.34375526286235,4.27812832142996,1.88471366957653e-05,0.039339359180261,"IGHV7-4-1",0.920778064774927,95.0237549622041,1.47770594289255,1.07106695404233,0.666071299696155,0,3.99522850432092,1.11649405655698,2.18754327092276,0,11.1805749816905,3.65923467398038,0.934558258286429,3.46361991457817,1.24775629525561,1.48162900827069,2.02566778944985,153.300086967053,8.61530824824299,2.30514485468232,0,856.521796767627,2.51449792066092,0,530.982104107473,1766.60600701241,0,302.961417597719,19.1543279712496,0,14.3995203323426,0,1.42694502735014,0,0.613088496154919,2.79653193452514,4.0727962560449,531.681087153744,3.45289001900646,20.6634245403037,696.496266150864,1681.59041203752,0,5.23428641600764,13.4683043653531,256.629568109654,177.207244115107,10460.05136688,1.0525744565969,14.0529943381941
"8","ENSG00000088882",22.5941551358213,-2.95831492822277,0.719347521146454,-4.11249756377554,3.91401602409451e-05,0.0470541447055041,"CPXM1",13.8116709716239,9.78185712846219,16.254765371818,6.42640172425395,35.9678501835924,72.1279219803833,481.710408235266,22.3298811311395,6.56262981276827,0,25.1562937088036,1.82961733699019,25.2330729737336,0,7.48653777153366,1.48162900827069,0,7.79491967629086,17.230616496486,5.37867132759208,5.49816467886164,3.41924868969113,7.54349376198276,1.86882335509344,44.3061990389547,30.8847204023148,14.2081622548275,1.20701759999091,35.914364946093,0,16.1994603738855,1.52054957472268,19.2637578692269,0,7.97015045001395,2.79653193452514,16.2911850241796,5.34352851410798,0.863222504751615,3.68989723933995,0,7.86893033241705,0,47.1085777440688,36.1517643491056,7.12859911415705,1.50814675842645,36.3196228016665,0,18.2688926396523
"9","ENSG00000154734",64.6779421197524,-1.58008182576329,0.37721751131539,-4.18878174624876,2.80455963505239e-05,0.0470541447055041,"ADAMTS1",75.503801311544,57.7595373299672,110.827945716941,46.05587902382,372.999927829847,78.4391151536668,323.042761920806,95.4602418356216,38.646597786302,37.7899105243005,48.0764724212692,37.5071554082989,49.5315876891807,0,26.2028822003678,41.4856122315793,50.6416947362463,45.0373136852361,34.4612329929719,27.6617382561879,28.7126377673886,66.675349448977,77.1112695669349,42.9829371671492,67.1515829184158,70.0053662452469,21.9580689392789,82.0771967993821,49.4820139257281,76.4429531859127,32.3989207477709,170.301552368941,55.6508560666555,2.15087965546226,31.8806018000558,46.1427769196648,45.6153180677028,29.3894068275939,26.7598976473001,64.9421914123831,0,65.3121217590615,87.2722053894276,91.6000122801338,54.5820755859046,34.6246242687628,39.9658890983008,23.5009324010783,35.7875315242946,116.288528148556
"10","ENSG00000165949",1674.85467569348,2.1368260196736,0.5188336661846,4.11851843652974,3.8131606692787e-05,0.0470541447055041,"IFI27",93.9193626070425,946.97693057922,257.120834063303,597.655360355618,233.791026193351,308.346866466138,549.629292808722,344.438416447827,4343.00257387198,3993.13387873441,466.789005485579,1137.1071749394,404.663725838024,4973.75819733425,3944.15764930298,665.992239217674,1454.42947282499,595.012201956869,2153.04385222,362.676123803352,411.140536541543,706.074854421218,306.768746320632,2821.9232661911,798.896151421152,1602.91698888014,820.198457437769,184.67369279861,1004.006024493,2397.17260888131,1675.74417867637,5444.32775229457,400.97155268539,6078.38590633634,221.938035608081,3189.44467132592,2826.52060169516,4795.81684141191,358.23733947192,351.278217185163,4564.53802995298,589.382881898037,3004.80232741971,1875.44482285554,5077.55074573811,398.183179090772,1621.25776530843,990.243833445438,850.480160930296,548.769428906479
"11","ENSG00000224607",130.208258768423,2.84186916766468,0.695940608449116,4.08349381134363,4.43636112977297e-05,0.0470541447055041,NA,13.8116709716239,23.2901360201481,7.38852971446274,21.4213390808465,35.9678501835924,8.11439122279312,33.1033218929448,15.6309167917977,45.2092275990703,259.49071893353,187.274630943316,32.0183033973283,43.9242381394622,380.998190603598,495.359249216477,11.8530320661655,79.0010437885443,8.6610218625454,201.284929072586,5.37867132759208,40.9307814981922,283.797641244363,31.0121410214847,39.2452904569623,11.0765497597387,72.0643476054012,58.1243001333852,22.9333343998273,95.7716398562479,11.7604543362943,269.991006231425,0.760274787361342,36.3870981974286,107.543982773113,25.1366283423517,120.250873184581,25.2513367874784,254.708192505814,142.431713284016,243.533217796437,1517.36686554295,62.9514426593364,69.0059298428033,31.4057184960459,163.037368633221,71.2859911415705,49.7688430280727,662.29900403039,81.0482331579614,0.351324858454852
"12","ENSG00000251546",738.379098723525,2.55657832914051,0.623157966544693,4.10261677840101,4.08503554721188e-05,0.0470541447055041,"IGKV1D-39",119.70114842074,173.744414710305,35.4649426294211,250.629667245904,197.157104710062,71.2263229556285,144.398973084742,72.5721136762035,459.384086893779,1365.47543361139,1230.98130548413,856.260913711408,242.985147154472,2802.06851089374,3291.5811068843,211.132133678573,1002.70555577768,233.847590288726,789.475519475357,126.0145853893,187.548506267836,294.055387313437,331.913725527242,153.243515117662,141.226009436668,551.807004521358,459.827796610781,324.687734397556,912.224869630761,64.6824988496185,1048.4650741987,9.1232974483361,233.305511971748,686.130610092461,127.522407200223,625.024887366369,405.650507102072,740.96928728964,421.252582318788,446.477565960134,8239.7995772312,281.70770590053,308.497098120767,714.480095785043,1050.52774049754,316.713474928977,271.46641651676,3304.01745075161,584.17882341128,5.62119773527763
"13","ENSG00000266402",43.2723470414149,3.55513121362401,0.871411598999129,4.07973822899225,4.50864434930571e-05,0.0470541447055041,"SNHG25",0.920778064774927,6.98704080604442,2.9554118857851,10.7106695404233,1.33214259939231,4.50799512377395,1.71224078756611,3.34948216967093,32.0839679735338,78.0991484168876,4.4722299926762,19.210982038397,14.0183738742964,218.208054618424,43.6714703339463,8.88977404962413,40.5133557889971,6.92881749003632,3.13283936299745,7.6838161822744,8.55270061156256,0,4.1908298677682,106.522931240326,1.38456871996734,2.05898136015432,24.5413711674293,7.24210559994548,2.3942909964062,90.1634832449227,1.79994004154283,10.6438470230588,5.70778010940057,251.652919689084,3.0654424807746,275.458395550726,6.51647400967183,8.01529277116197,6.0425575332613,5.90383558294392,553.465782923454,3.93446516620852,80.1686537879626,4.18742913280611,2.1265743734768,9.16534171820192,25.6384948932496,0,147.360423923566,6.32384745218734
"14","ENSG00000273962",55.5853648444495,3.12508340793096,0.754027397553506,4.14452235829959,3.40522732790214e-05,0.0470541447055041,"IGKV2-40",2.76233419432478,11.1792652896711,2.9554118857851,7.49746867829628,11.9892833945308,2.70479707426437,10.8441916545854,3.90772919794942,4.37508654184551,27.7126010511537,35.7778399414096,32.0183033973283,23.3639564571607,128.153936839392,546.517257321957,18.5203626033836,24.3080134733982,18.1881459113453,122.180735156901,14.5992507463214,12.2181437308037,52.9983546902125,11.734323629751,14.9505868407475,17.3071089995917,38.0911551628549,15.4998133689027,10.8631583999182,92.5792518610396,0,144.895173344198,0,6.42125262307564,30.1123151764716,6.13088496154919,11.1861277381006,96.1179916426596,227.990549935274,12.9483375712742,56.8244174858352,503.716049626964,7.86893033241705,5.07396542961789,85.8422972225254,138.227334275992,12.2204556242692,15.8355409634777,92.9355054042644,8.42059565277521,0.702649716909704
